Date,Portfolio Value,Cash
2023-09-01,53255.01,0.0
2023-09-05,52390.5,0.0
2023-09-06,52286.77,0.0
2023-09-07,52202.6,0.0
2023-09-08,52224.07,0.0
2023-09-11,52544.09,0.0
2023-09-12,52173.08,0.0
2023-09-13,51703.4,0.0
2023-09-14,52224.49,0.0
2023-09-15,51446.66,0.0
2023-09-18,51333.99,0.0
2023-09-19,51378.94,0.0
2023-09-20,50775.29,0.0
2023-09-21,49335.39,0.0
2023-09-22,49271.63,0.0
2023-09-25,49546.22,0.0
2023-09-26,48896.93,0.0
2023-09-27,49385.37,0.0
2023-09-28,49817.03,0.0
2023-09-29,49740.65,0.0
2023-10-02,49824.92,0.0
2023-10-03,48748.67,0.0
2023-10-04,49029.8,0.0
2023-10-05,49066.4,0.0
2023-10-06,49902.59,0.0
2023-10-09,50244.11,0.0
2023-10-10,50771.34,0.0
2023-10-11,50967.93,0.0
2023-10-12,50277.56,0.0
2023-10-13,49412.76,0.0
2023-10-16,50091.14,0.0
2023-10-17,50571.75,0.0
2023-10-18,49097.71,0.0
2023-10-19,48426.96,0.0
2023-10-20,47667.07,0.0
2023-10-23,47905.42,0.0
2023-10-24,48447.8,0.0
2023-10-25,47473.88,0.0
2023-10-26,47135.69,0.0
2023-10-27,47134.21,0.0
2023-10-30,47873.6,0.0
2023-10-31,48185.22,0.0
2023-11-01,48697.16,0.0
2023-11-02,49940.11,0.0
2023-11-03,50984.96,0.0
2023-11-06,50859.14,0.0
2023-11-07,51081.15,0.0
2023-11-08,51407.93,0.0
2023-11-09,51368.93,0.0
2023-11-10,51665.84,0.0
2023-11-13,51709.9,0.0
2023-11-14,53349.36,0.0
2023-11-15,53097.12,0.0
2023-11-16,53006.29,0.0
2023-11-17,53326.48,0.0
2023-11-20,53879.36,0.0
2023-11-21,53462.12,0.0
2023-11-22,53622.79,0.0
2023-11-24,53702.09,0.0
2023-11-27,53964.81,0.0
2023-11-28,53479.46,0.0
2023-11-29,54024.25,0.0
2023-11-30,54434.13,0.0
2023-12-01,55085.67,0.0
2023-12-04,54870.79,0.0
2023-12-05,54487.92,0.0
2023-12-06,54290.82,0.0
2023-12-07,54701.29,0.0
2023-12-08,55384.79,0.0
2023-12-11,55778.66,0.0
2023-12-12,56288.0,0.0
2023-12-13,57100.14,0.0
2023-12-14,57339.45,0.0
2023-12-15,57372.71,0.0
2023-12-18,57562.75,0.0
2023-12-19,57934.19,0.0
2023-12-20,56778.34,0.0
2023-12-21,57773.33,0.0
2023-12-22,57447.83,0.0
2023-12-26,57719.36,0.0
2023-12-27,57846.09,0.0
2023-12-28,57859.77,0.0
2023-12-29,57387.78,0.0
2024-01-02,56178.85,0.0
2024-01-03,55285.22,0.0
2024-01-04,55382.8,0.0
2024-01-05,55474.54,0.0
2024-01-08,56787.61,0.0
2024-01-09,57023.13,0.0
2024-01-10,57439.63,0.0
2024-01-11,57700.14,0.0
2024-01-12,57558.9,0.0
2024-01-16,57573.03,0.0
2024-01-17,57255.63,0.0
2024-01-18,57851.4,0.0
2024-01-19,59768.38,0.0
2024-01-22,60400.31,0.0
2024-01-23,60738.68,0.0
2024-01-24,60609.56,0.0
2024-01-25,61064.52,0.0
