Date,Ticker,Action,Price,Shares,Portfolio Value
2023-04-03,XYL,BUY,100.36,23.367409,46905.26
2023-04-03,TDG,BUY,637.46,3.67905,46905.26
2023-04-03,VRT,BUY,13.92,168.487548,46905.26
2023-04-03,SJM,BUY,139.68,16.790547,46905.26
2023-05-01,ROST,SELL,102.27,22.325166,46609.39
2023-05-01,VICI,SELL,28.08,86.842629,46609.39
2023-05-01,VRT,SELL,14.77,168.487548,46609.39
2023-05-01,WYNN,SELL,111.82,0.552382,46609.39
2023-05-01,TKO,SELL,102.24,5.0691,46609.39
2023-05-01,GWW,SELL,676.38,0.086787,46609.39
2023-05-01,SBUX,SELL,105.75,2.19364,46609.39
2023-05-01,TT,SELL,181.5,0.362878,46609.39
2023-05-01,XYL,SELL,100.4,0.156287,46609.39
2023-05-01,TDG,SELL,657.49,0.134567,46609.39
2023-05-01,SJM,SELL,139.15,0.042168,46609.39
2023-05-01,SNA,SELL,240.94,0.685363,46609.39
2023-05-01,SMCI,BUY,10.51,13.656248,46609.39
2023-05-01,ULTA,BUY,532.88,0.118439,46609.39
2023-05-01,TPL,BUY,158.47,2.527884,46609.39
2023-05-01,STLD,BUY,99.75,1.667416,46609.39
2023-05-01,SNPS,BUY,371.62,6.271108,46609.39
2023-05-01,TJX,BUY,74.95,0.016887,46609.39
2023-05-01,VLO,BUY,104.47,3.605138,46609.39
2023-05-01,SLB,BUY,45.3,2.8195,46609.39
2023-05-01,URI,BUY,349.88,0.430291,46609.39
2023-05-01,VRTX,BUY,345.0,6.754983,46609.39
2023-05-01,TSCO,BUY,44.98,51.815053,46609.39
2023-06-01,SNA,SELL,233.43,9.672562,46297.42
2023-06-01,VLO,SELL,96.77,22.308101,46297.42
2023-06-01,SLB,SELL,41.46,51.444936,46297.42
2023-06-01,TPL,SELL,142.61,14.705677,46297.42
2023-06-01,URI,SELL,329.69,6.660715,46297.42
2023-06-01,SNPS,SELL,454.55,6.271108,46297.42
2023-06-01,SMCI,SELL,23.1,121.515001,46297.42
2023-06-01,TDG,SELL,665.15,0.064264,46297.42
